EngineSize_L,Weight_kg,Horsepower,Mileage_km_per_l
3.5,1620,180,28.91
4.62,1665,83,27.38
2.57,1554,116,37.29
1.44,1454,106,40.0
2.91,2143,219,31.04
5.0,1779,182,24.08
3.99,1113,210,33.08
3.53,1321,122,31.9
3.15,2194,191,27.25
1.68,800,181,40.0
1.86,1295,160,39.07
1.97,1072,108,40.0
3.13,1143,140,32.83
3.05,887,163,35.58
2.19,1586,131,33.16
3.23,1691,109,31.52
2.98,1452,228,35.49
4.7,1394,162,27.84
4.03,1223,137,31.9
1.54,1721,178,36.99
4.95,1731,196,25.15
3.13,1876,93,31.0
4.79,1022,60,30.41
4.74,1230,156,28.81
4.87,1378,187,27.72
3.14,1637,200,31.98
4.13,1312,168,32.55
4.53,1608,81,27.29
4.42,876,158,33.48
3.88,1597,172,29.16
4.6,1201,125,30.22
3.34,1044,177,33.19
2.91,1390,75,34.84
2.4,1580,218,33.85
2.39,1035,110,39.0
1.6,1844,62,34.68
4.09,1186,102,30.55
3.75,2129,176,28.36
1.27,1075,178,39.54
3.63,1132,147,33.24
3.67,1108,60,33.14
1.55,1385,90,39.08
4.17,1757,121,28.09
3.92,1218,124,32.7
2.34,1356,81,35.33
2.55,1236,130,34.92
3.45,1573,188,33.16
3.04,1474,143,35.56
2.32,2249,212,28.54
3.75,1499,136,31.42
4.26,1549,212,26.09
1.67,1638,226,35.09
4.44,867,159,33.87
4.16,1129,147,30.87
1.78,1524,203,38.16
1.46,1845,195,32.84
2.01,1293,126,39.18
4.65,1341,125,29.29
1.41,1262,162,40.0
4.23,1486,78,28.56
4.14,1889,163,24.8
3.57,1272,142,32.07
1.47,1804,86,40.0
3.73,800,120,34.46
1.85,1690,165,34.24
3.24,1481,130,32.06
4.63,1343,155,28.85
1.4,1661,176,36.46
4.02,1398,217,29.86
4.95,804,122,31.47
3.3,1347,134,34.2
4.38,1399,148,29.17
2.35,1321,235,35.69
1.82,1288,194,35.35
2.94,1272,96,34.6
4.19,1295,67,30.52
3.61,1182,204,31.53
3.5,1309,150,33.18
1.84,1548,212,35.05
4.02,800,216,31.86
2.79,1309,118,37.29
2.95,1384,137,33.66
3.51,1408,178,32.82
2.7,1054,100,36.48
1.87,1498,146,35.51
4.08,1391,131,28.38
2.71,1223,118,38.49
3.69,1161,175,33.71
4.79,1504,137,26.38
3.85,937,101,37.4
2.86,1493,188,30.65
3.37,1497,199,31.68
2.27,879,189,36.82
3.49,1413,113,30.65
2.62,1064,162,32.5
3.51,1926,148,28.77
3.38,1028,146,35.36
2.95,1844,168,32.35
4.87,1320,173,28.69
4.35,1489,219,28.3
2.36,1492,167,36.79
1.9,927,160,40.0
4.71,1232,162,28.02
1.59,1272,225,39.35
2.09,918,74,40.0
4.98,1330,196,25.8
2.9,1410,170,34.01
4.62,1013,144,28.85
3.32,1808,159,29.65
3.33,1138,213,34.47
1.5,978,168,40.0
1.12,1708,170,36.46
1.87,1064,141,39.7
3.72,1171,186,33.95
4.82,1671,188,25.58
4.45,1183,60,30.83
1.67,1715,159,37.97
3.08,1395,269,33.32
4.08,1203,226,31.08
2.85,1512,199,30.49
1.79,1193,145,39.24
3.25,1741,203,29.87
4.86,1388,158,26.44
2.42,1596,60,35.34
3.52,959,138,36.65
3.55,1162,70,37.37
2.47,972,141,39.17
3.47,1816,258,27.1
4.32,1290,110,30.0
2.18,1094,188,37.15
2.93,1227,73,34.46
1.42,1158,154,40.0
3.83,1918,62,28.24
2.12,1537,75,34.46
3.25,1017,176,35.21
2.72,1243,133,38.28
3.96,1442,136,31.2
2.12,1505,141,35.12
4.75,1394,60,31.6
3.81,1078,119,33.27
3.66,1566,140,30.98
2.75,1395,160,34.81
1.42,1529,60,40.0
1.7,800,192,40.0
2.11,1456,88,36.04
1.25,1758,168,38.66
3.57,1374,144,34.58
1.16,1317,188,39.6
2.78,1139,218,34.72
4.34,800,144,33.74
1.52,1377,154,35.07
4.57,1216,60,30.06
2.59,1766,102,31.41
3.6,1023,92,32.3
3.43,1406,137,30.31
2.54,1498,137,34.66
2.74,1483,135,32.99
1.65,1129,156,37.64
4.91,1270,248,27.37
2.0,1494,180,35.74
2.62,1320,172,35.83
1.52,1477,142,38.73
1.3,900,143,40.0
1.09,1292,163,40.0
2.65,1580,142,32.87
1.13,1328,228,38.76
2.91,800,100,38.26
3.67,1431,176,32.18
2.06,1323,105,37.11
1.29,1127,161,38.51
3.27,1670,167,32.69
3.99,1637,162,27.83
3.25,1218,131,35.11
1.18,1455,80,38.51
4.33,1377,123,26.72
2.58,1173,164,35.65
1.29,1755,60,39.18
4.24,1222,159,28.85
4.56,1336,127,28.94
3.66,1281,78,34.08
4.91,1469,148,27.85
2.79,1878,219,36.05
4.7,1703,198,26.96
1.82,1990,98,34.84
3.6,1649,248,28.8
2.38,1556,169,33.67
1.02,800,182,40.0
2.74,1518,144,34.78
2.84,1238,125,33.07
1.01,1087,60,40.0
4.34,1258,219,27.79
3.63,1281,160,30.73
1.01,1035,130,40.0
1.28,1290,198,39.83
1.07,2047,153,37.7
1.53,958,78,40.0
1.73,1496,141,36.25
2.1,1498,116,35.95
2.19,1514,119,37.54
2.91,1401,217,31.7
2.94,1543,167,33.07
4.73,983,179,29.45
1.61,1253,202,37.52
4.1,1333,177,30.59
3.45,1991,176,28.38
3.38,1276,172,32.08
4.76,1111,149,30.2
4.93,1630,150,27.95
4.41,1702,105,24.8
3.36,1410,125,31.39
2.16,867,159,38.17
4.47,1410,153,30.26
1.65,1206,108,40.0
2.33,1451,133,35.44
4.6,1175,124,27.96
1.06,1373,201,40.0
1.49,1209,138,38.25
1.9,812,119,39.24
4.87,1715,88,22.18
3.59,1087,84,33.15
3.65,1427,67,31.6
4.31,1884,169,25.82
4.68,1159,83,31.26
2.81,1554,89,34.41
2.21,1096,60,39.63
1.08,1551,108,37.77
1.87,1241,60,40.0
1.14,800,60,40.0
4.24,1595,177,27.85
1.38,1332,140,37.58
4.71,1501,112,28.33
2.88,1422,186,34.68
2.24,1165,125,38.92
1.84,1693,76,35.75
4.63,1492,178,28.75
2.31,1195,174,33.76
1.42,1378,97,39.08
1.32,1854,110,38.74
3.6,1320,114,32.85
3.85,1327,221,29.31
1.2,1813,113,34.6
3.86,2107,120,25.95
3.22,1123,102,34.66
3.49,1364,99,33.57
2.3,1366,163,36.71
3.64,1688,207,30.24
1.76,1898,97,35.56
1.88,1327,60,39.42
3.04,854,144,38.54
3.9,1385,60,32.61
1.64,1371,125,38.89
3.77,1695,138,29.6
3.27,1011,66,36.39
1.7,1244,148,38.78
4.35,1737,131,27.08
1.92,1524,60,40.0
2.93,1440,94,33.23
3.13,1530,136,32.33
2.23,1359,184,34.73
4.54,1048,108,34.57
1.15,1389,120,40.0
1.69,1428,87,40.0
4.75,1983,148,27.79
4.07,1311,132,31.76
2.9,1557,163,34.13
3.72,1506,105,33.39
3.38,1719,93,30.71
1.14,1390,119,39.51
2.98,1138,129,35.95
2.41,2412,153,29.09
2.53,931,165,36.97
3.39,1189,158,33.33
1.75,1329,118,39.04
2.16,1939,189,33.13
1.55,1231,150,38.18
1.41,1077,215,39.44
3.78,1505,169,29.87
2.34,1776,60,32.55
1.68,997,64,40.0
2.49,1558,215,32.43
3.38,1500,169,34.14
2.28,1129,142,38.05
2.66,1029,243,36.6
4.38,1463,60,30.85
4.68,1134,93,28.95
4.12,1322,152,30.95
3.34,1777,125,30.07
2.39,1463,187,35.54
4.75,1297,240,27.61
4.55,2029,180,23.93
3.74,1521,60,29.63
2.9,1209,224,31.3
1.58,1568,137,39.04
2.11,1708,107,34.6
1.5,1586,60,38.53
1.04,1687,142,38.33
1.72,1752,60,32.89
2.06,1347,101,36.33
1.34,1800,68,38.21
1.63,1862,121,37.04
3.82,1459,121,30.96
3.6,2070,80,26.81
3.44,1273,127,34.53
3.21,1297,165,35.49
1.97,1010,132,39.87
1.72,1425,261,35.94
1.57,1242,115,37.99
3.36,1250,132,33.51
1.49,1574,196,37.97
3.28,1207,93,33.45
3.64,1267,171,32.8
2.96,1794,86,31.13
1.47,1056,105,40.0
1.06,1729,153,40.0
4.38,2040,100,23.92
3.94,1861,115,28.81
4.17,1188,60,32.31
2.03,904,221,38.98
3.51,1289,174,33.07
2.51,1247,157,36.74
2.92,833,109,37.87
3.0,1116,60,35.6
2.71,1312,158,36.0
1.96,1601,157,34.54
2.14,1481,60,36.82
1.52,1370,65,40.0
3.19,1585,136,30.62
4.92,1433,154,27.52
2.66,1350,131,33.43
3.94,831,60,35.51
2.01,1168,147,37.92
4.78,1455,132,29.1
2.44,935,67,38.76
2.36,1730,139,32.88
2.14,1430,106,35.81
2.05,1973,60,34.38
1.63,1453,140,37.06
4.81,1529,185,27.25
2.62,1076,198,38.77
4.17,1841,179,25.29
4.11,1564,123,29.18
2.18,1403,104,37.25
1.71,1587,78,35.96
1.21,1387,60,40.0
4.43,1137,144,27.89
3.48,1223,145,33.84
3.45,1482,116,29.42
1.6,1907,199,34.37
1.51,1244,191,38.05
4.04,1613,166,27.79
3.16,1103,102,34.96
3.49,1565,228,30.27
2.75,1544,207,33.19
4.23,1176,70,32.48
3.61,1572,151,29.0
3.73,1001,168,36.63
3.98,1395,85,29.76
3.9,1317,178,32.76
1.54,1787,198,38.86
4.98,1313,103,30.58
1.92,1777,123,34.92
4.0,1771,167,29.29
3.08,2012,223,29.89
3.34,800,168,34.61
3.53,1487,112,29.0
1.95,1810,118,35.69
4.79,1523,157,27.97
4.64,1407,144,28.23
4.92,1538,139,27.77
3.12,1188,75,35.48
4.92,1886,150,26.62
3.25,1374,165,28.88
1.28,1301,110,40.0
4.07,800,166,32.89
4.01,1631,189,27.58
3.15,1009,178,37.82
2.32,1835,208,31.29
3.71,1719,83,31.79
3.75,1338,167,33.91
1.75,802,222,40.0
4.38,1176,209,31.83
2.91,1445,60,35.87
2.37,1424,115,36.87
1.72,1189,151,37.26
3.06,1875,60,32.2
4.83,1123,157,28.45
1.97,800,60,40.0
2.3,1628,119,34.51
2.37,1614,107,37.24
4.38,1320,110,28.82
4.64,1329,123,29.76
2.86,1340,60,35.37
3.4,1286,163,35.14
1.99,1643,151,35.44
4.42,1447,160,27.51
3.75,1170,195,30.63
3.98,1676,189,27.84
2.58,1782,139,31.49
4.9,1429,158,28.41
2.89,1394,192,32.92
3.83,1706,86,27.79
1.65,1929,159,34.81
4.13,1274,86,28.66
1.17,1414,78,40.0
4.41,1439,106,28.66
2.02,1348,136,39.69
1.14,1443,160,40.0
4.4,2342,94,23.95
4.64,1298,205,30.02
4.18,1736,149,25.53
4.43,1160,125,30.49
4.03,1280,118,31.31
2.74,800,117,37.72
4.92,1393,84,26.7
4.34,1001,82,32.7
2.04,1472,124,37.77
1.08,1295,126,40.0
2.56,917,173,37.91
3.89,1365,245,29.31
3.64,1307,158,32.22
1.69,2020,87,32.87
1.66,1469,118,36.97
4.99,1009,235,26.53
1.37,1505,245,37.26
1.06,1535,145,40.0
3.17,1272,223,32.4
1.88,1327,194,35.99
4.61,1608,161,26.83
4.17,1090,153,31.71
3.76,1943,197,27.07
1.1,1726,192,36.35
2.33,1532,79,33.36
4.07,1036,101,32.94
2.25,1778,147,35.53
3.41,1046,122,34.24
1.25,1463,79,38.46
3.5,1336,60,33.15
3.5,1602,114,30.16
3.13,1315,101,34.89
3.05,1063,184,34.18
1.25,1212,191,40.0
2.21,1291,132,37.3
3.4,1729,172,28.31
1.02,1410,117,40.0
4.12,1062,237,29.46
1.5,1635,164,36.43
1.35,1571,186,35.78
2.79,1167,148,33.26
4.79,1137,187,31.4
1.25,1317,203,38.17
3.07,1229,73,34.18
4.3,1648,170,26.26
1.68,1420,149,37.18
2.01,1097,77,39.84
3.65,1424,134,30.1
3.16,1420,100,32.56
3.66,1110,185,32.46
2.69,1264,104,33.01
3.07,1497,188,33.67
4.57,1784,114,28.03
4.57,1613,91,27.62
1.64,1172,88,40.0
4.35,1830,214,27.83
1.19,1262,155,37.84
4.02,1571,126,24.59
2.83,1763,204,32.1
4.11,1547,241,27.62
3.84,1238,108,31.08
4.08,1491,208,30.46
3.86,1497,130,32.4
4.8,1075,150,31.77
2.83,1299,111,35.03
3.58,1615,160,32.41
4.43,1264,177,28.44
3.91,1178,178,30.33
4.08,822,99,33.93
4.84,908,215,29.9
4.79,2047,247,24.36
3.77,1124,177,33.23
4.32,1193,197,28.52
4.62,1737,64,26.74
1.33,1106,101,40.0
3.23,1258,218,33.61
2.59,1680,204,31.63
1.47,1428,154,39.46
2.41,992,122,38.47
3.18,1226,147,31.93
1.51,1685,168,36.3
1.24,1303,196,39.74
3.22,1394,132,33.75
1.52,1389,65,40.0
2.35,1762,157,34.51
2.22,1143,72,40.0
1.12,926,223,40.0
1.07,1657,177,37.22
1.45,982,211,39.53
2.35,986,187,38.12
4.79,1683,174,27.89
2.82,1268,91,33.03
4.79,1427,118,29.47
1.79,800,103,40.0
1.68,1583,120,36.61
2.41,1091,141,37.92
1.73,1713,104,35.39
4.58,1383,81,30.45
4.9,1630,60,26.43
2.8,1525,87,34.35
2.4,1352,166,34.78
1.04,1210,143,40.0
2.09,1168,169,37.83
1.9,1738,125,34.56
2.32,873,123,37.34
2.26,994,162,38.67
4.67,1307,153,26.31
2.67,800,154,38.83
4.45,1285,136,27.64
4.1,1397,161,29.64
4.0,1664,70,29.98
2.95,1819,156,27.83
1.01,922,113,40.0
1.47,1442,147,37.84
2.5,1665,104,34.94
4.99,1508,62,26.72
1.09,1553,89,40.0
3.18,1260,173,34.85
2.43,1274,122,35.24
3.7,1171,141,33.68
4.87,1523,151,27.91
3.65,1771,85,28.74
1.56,1554,60,39.27
1.79,1097,139,39.02
3.96,1122,118,35.52
2.84,1037,168,34.73
3.48,1046,123,35.43
1.72,1439,60,38.84
1.71,1054,178,39.79
4.87,1186,172,29.17
1.99,1666,102,36.46
2.31,1287,134,40.0
2.32,1320,106,37.91
2.09,1363,135,38.77
4.75,1521,168,24.49
1.19,1286,138,40.0
2.03,800,163,39.0
1.23,1372,74,39.99
3.41,1211,71,35.06
1.37,1923,186,37.42
2.17,1009,143,40.0
4.81,1573,135,25.69
1.55,1319,226,37.4
3.21,2109,215,30.77
1.68,1564,154,36.96
1.34,1893,109,34.84
1.43,800,142,40.0
4.64,1353,100,30.16
2.08,1184,144,38.68
3.87,1626,155,30.02
2.42,1507,210,30.71
1.63,1583,130,35.39
1.85,1394,147,39.94
3.85,1684,143,30.34
2.22,1407,185,35.7
2.13,1218,60,38.57
4.31,1424,207,30.16
1.81,1765,170,38.22
2.46,1552,93,32.41
4.5,1509,91,30.09
2.7,1565,74,34.41
1.64,1470,176,37.54
4.43,1266,193,29.36
2.04,1433,158,36.69
1.99,800,190,40.0
4.28,800,176,32.83
2.99,1611,72,33.33
4.06,1069,79,34.28
2.78,1044,151,36.91
3.51,1455,64,32.48
2.4,1354,88,36.77
2.36,1463,212,36.6
2.49,1082,179,35.74
3.35,1524,60,33.83
2.91,1245,82,36.26
1.16,1760,116,38.77
1.55,1250,73,40.0
1.74,1527,178,35.38
3.95,1161,60,33.56
2.73,1973,139,33.75
1.65,1350,133,39.11
2.93,1475,211,33.39
3.91,1651,95,29.93
3.42,1309,60,32.44
1.24,2088,136,33.73
2.46,1679,81,33.72
4.89,986,172,31.28
4.57,1516,93,31.91
1.31,1596,169,36.53
2.69,1604,152,29.69
3.52,1081,151,33.16
1.63,1321,60,40.0
1.73,1684,184,38.66
2.35,1230,149,35.66
3.35,1114,171,33.25
3.38,1122,112,34.73
2.44,1187,120,38.1
4.77,817,114,32.49
1.67,1111,129,40.0
4.45,1503,87,30.16
3.71,1723,115,32.52
3.95,1272,144,31.94
3.29,1426,97,34.92
4.63,1371,143,28.18
2.36,1313,286,34.82
3.91,1046,138,33.41
4.05,998,194,32.67
1.0,1750,257,34.88
1.54,1359,215,35.7
1.19,1585,210,38.89
3.43,1399,166,36.32
1.74,1779,107,37.57
2.93,1000,193,37.33
3.21,1313,105,34.64
3.35,1256,258,32.43
4.35,1152,178,30.19
3.89,800,60,35.53
2.69,1398,144,34.75
4.32,1539,170,27.23
4.51,1827,103,28.99
2.79,1269,164,35.52
2.35,1039,103,37.42
2.64,1067,170,36.68
1.25,1163,87,40.0
4.42,1431,177,30.09
2.64,1088,133,38.15
4.53,1386,117,28.5
1.07,1052,60,40.0
2.74,1331,138,33.31
4.0,1988,97,28.14
1.45,1460,105,39.27
1.15,1086,72,40.0
1.13,2224,150,32.93
3.57,1706,156,29.15
2.06,1591,164,36.4
3.97,1312,100,32.65
2.49,1625,128,33.85
1.74,1596,126,35.37
3.45,1098,168,34.07
2.56,1710,108,35.16
2.91,1646,83,33.42
2.46,1374,140,35.13
4.25,1215,85,30.8
1.09,1795,97,36.79
1.33,1265,212,36.69
1.13,1397,85,40.0
2.71,1057,133,35.61
4.15,1059,142,34.32
4.04,1936,109,28.15
3.31,1825,160,31.29
2.13,1740,100,34.96
4.11,1484,138,30.03
3.63,971,116,35.59
1.11,1510,202,37.46
4.55,1528,186,27.52
1.31,1378,108,40.0
1.93,1591,151,37.41
2.01,1961,105,31.68
2.74,1224,99,33.64
4.39,1475,174,27.03
1.43,1084,176,38.16
2.2,1560,98,36.38
3.74,1321,170,31.88
2.5,1430,69,35.88
4.66,1152,184,30.09
3.99,1186,175,32.15
3.88,800,121,35.51
3.1,1392,127,34.8
3.88,1284,142,33.34
2.0,1435,115,37.95
3.34,1381,202,30.6
2.19,1584,209,36.57
3.12,1897,141,32.65
2.28,1125,163,37.43
4.63,1600,141,26.22
3.9,1086,154,32.16
2.28,1256,126,36.41
4.05,1346,84,34.32
4.07,1615,252,26.31
1.82,1004,256,40.0
2.63,978,216,39.29
4.91,1387,221,29.05
2.81,800,112,38.68
3.45,1678,60,30.77
3.82,1578,116,27.06
1.31,1361,84,40.0
1.44,1591,155,37.37
4.46,803,97,32.57
3.44,1568,174,30.83
1.74,1564,208,37.0
4.15,829,60,30.71
3.86,1407,84,32.84
2.0,1259,75,38.27
3.52,800,60,37.03
4.89,1301,175,26.56
3.81,1526,82,31.39
1.21,800,156,40.0
4.23,1559,78,31.3
3.46,1732,92,29.06
2.89,995,128,36.53
2.7,930,134,38.44
4.76,1689,125,28.37
2.73,1249,141,35.05
1.19,1722,176,39.02
2.96,1383,166,32.5
2.26,975,131,38.62
1.18,1008,128,40.0
2.53,1996,145,31.25
1.29,852,142,40.0
3.06,1259,107,35.36
2.08,1119,202,37.73
3.76,800,146,32.48
1.88,1543,144,37.65
4.27,1102,80,32.51
4.97,1554,85,24.91
1.66,1347,76,40.0
3.91,1565,143,30.23
4.23,800,148,35.49
3.22,1279,110,34.62
3.02,1656,92,32.16
1.58,1219,137,39.54
4.13,1285,195,30.28
2.0,1019,116,39.94
2.02,1324,147,37.59
1.49,1041,132,39.47
1.87,1293,108,38.34
3.6,1097,126,35.26
4.65,1708,209,26.44
4.38,1660,122,25.84
4.59,1034,164,32.44
2.64,2117,136,29.92
1.74,1473,166,33.93
2.17,1484,80,38.41
3.68,1831,158,26.47
3.23,1526,168,30.8
3.24,1131,108,33.67
4.17,869,83,31.95
4.16,800,253,29.64
3.4,2022,187,28.21
3.34,1456,181,32.99
3.53,1493,201,33.32
3.51,1566,212,31.16
2.27,1217,110,37.21
3.88,1539,177,30.25
4.69,963,101,33.37
1.8,1434,110,36.78
1.53,1633,141,36.5
2.13,1108,79,40.0
2.76,2280,234,28.47
4.02,971,128,34.21
4.98,1568,127,23.72
2.36,1386,174,33.69
3.88,1826,124,31.16
4.54,1307,121,30.34
1.09,1096,114,38.3
2.84,1666,171,31.89
3.27,1149,94,35.81
1.04,1652,104,36.94
4.73,996,122,29.64
3.76,1179,136,32.06
2.93,1114,142,35.7
4.83,954,106,30.37
4.06,998,110,34.19
4.18,1856,177,29.38
3.95,2057,163,26.84
3.98,821,180,33.46
4.39,1784,128,26.23
3.1,1534,168,31.97
1.38,1402,103,39.88
2.92,965,133,36.42
3.82,1734,183,29.34
3.92,832,144,34.98
2.33,1341,187,37.02
4.79,1160,126,30.98
4.55,1323,134,31.84
2.81,1816,195,29.36
1.26,800,60,40.0
4.71,988,192,30.59
3.13,1267,154,33.01
3.89,1714,147,27.55
4.34,1571,60,30.82
4.06,1947,102,28.8
1.82,1450,181,37.26
4.11,1501,157,29.52
3.69,1205,110,34.47
4.33,800,161,34.43
3.09,1887,114,29.76
4.92,1490,115,27.4
4.57,1375,274,28.02
1.51,1145,111,39.83
2.03,1881,60,33.29
2.77,931,108,35.23
1.81,1037,60,40.0
3.68,1251,97,31.97
2.06,1570,118,36.09
2.62,1324,76,36.33
2.51,1600,222,34.0
4.43,1647,126,27.73
3.52,1322,160,32.52
3.86,1785,89,27.66
4.74,997,116,29.71
3.59,1261,137,33.52
1.07,1394,101,39.63
4.67,1650,170,25.86
4.59,1832,105,28.88
4.7,1176,111,30.64
2.37,1482,199,34.88
1.15,1088,205,40.0
3.08,1307,216,33.91
4.06,1546,215,30.2
4.49,1570,117,29.92
1.17,1473,157,40.0
3.1,1210,118,34.32
1.59,1371,175,38.67
4.91,1261,228,28.33
2.7,1428,175,38.1
2.01,1251,215,38.57
4.16,1193,99,32.95
4.75,1224,122,28.88
4.98,1468,185,25.09
3.09,1193,160,35.91
1.9,1029,60,40.0
1.91,1645,222,35.71
4.62,1141,127,28.6
2.13,1230,93,38.81
3.41,1175,104,35.3
2.55,1368,147,33.71
1.42,1486,122,40.0
1.27,1254,191,39.96
4.83,1549,176,28.9
1.51,1282,121,36.99
4.01,1481,113,29.39
4.83,1809,252,24.93
4.72,1265,148,32.36
2.2,1487,208,37.0
2.66,1770,174,30.62
3.76,1168,187,30.7
3.79,942,90,35.25
1.82,1388,126,36.96
1.4,1531,171,35.36
1.48,1577,75,38.03
2.02,1352,120,38.21
3.85,1424,135,30.41
1.36,1291,101,40.0
4.04,1553,71,30.17
1.46,1443,190,38.0
1.98,1159,149,38.17
3.15,1828,249,27.93
1.78,1607,169,36.83
4.91,1102,157,27.92
1.4,1143,134,39.99
2.94,1246,117,34.97
3.29,2209,216,25.53
4.95,800,171,31.15
4.31,2163,146,23.76
2.6,1317,171,34.23
2.15,1152,164,37.19
3.41,1787,131,33.68
1.14,1314,130,40.0
2.0,1962,105,36.38
1.95,1373,155,35.94
3.46,1511,146,32.61
4.04,1407,60,30.28
3.98,1878,102,28.36
2.22,1191,216,35.18
1.75,1289,99,39.32
4.36,1371,190,29.93
2.11,1382,104,37.78
4.35,1915,201,26.02
3.12,1614,138,31.44
1.39,1349,152,36.0
1.88,1342,199,34.45
1.13,1083,103,40.0
1.83,1386,190,37.55
1.97,1626,130,34.35
1.54,1226,199,36.81
3.32,1116,77,36.59
1.37,1678,178,35.51
4.45,1686,129,26.75
3.64,1076,124,34.31
1.45,1176,168,38.52
1.43,1819,73,36.28
4.04,1208,131,31.75
1.01,1623,203,38.54
3.01,1116,148,37.14
4.83,1330,135,26.09
3.86,2215,217,22.05
2.02,954,123,39.97
3.78,1112,175,34.38
4.86,1026,156,29.55
1.24,1550,213,37.44
2.8,800,180,36.8
3.37,1903,156,30.51
2.74,1340,65,35.07
1.29,1113,140,40.0
1.65,1734,231,35.12
4.04,1339,227,28.25
1.56,1821,118,36.4
3.3,1459,150,29.28
4.79,1291,69,30.34
4.47,1574,176,28.19
3.78,1633,89,31.16
1.33,1447,137,37.58
2.15,1164,184,38.79
3.63,1993,124,28.39
1.94,1370,148,38.58
3.5,1215,199,32.83
2.68,1705,201,32.93
2.99,1596,116,32.25
1.5,1602,86,35.84
4.72,1250,129,28.54
4.77,1037,108,31.0
3.74,1566,65,30.69
2.76,1306,191,33.27
3.66,1426,71,31.79
3.62,1882,145,27.99
3.22,1825,148,30.48
2.52,1074,87,39.85
4.27,1822,138,29.75
4.4,1743,183,26.16
1.81,1352,151,37.81
2.69,1772,102,29.55
1.1,1239,189,40.0
3.32,1423,131,31.35
2.77,1702,175,32.47
3.79,1211,160,29.46
1.04,1076,153,40.0
1.84,1554,126,34.17
4.07,1280,119,30.51
2.55,1568,125,37.38
3.14,1318,110,32.31
2.66,800,242,35.5
1.22,1291,146,39.58
1.21,1713,106,36.28
4.87,1396,166,28.94
1.29,1332,208,37.26
3.98,1129,106,30.08
1.6,1692,174,36.62
2.02,957,147,40.0
2.05,1365,60,37.74
3.04,1935,78,29.67
4.24,1150,108,31.93
3.52,1596,111,31.74
2.64,1322,95,37.33
1.99,971,130,40.0
2.74,1690,185,29.12
4.99,807,100,30.93
2.16,1385,195,34.87
1.61,2164,195,32.36
3.32,1384,131,28.61
1.43,934,137,40.0
2.82,1207,183,32.83
1.06,1657,97,39.49
1.16,1387,64,40.0
1.04,1047,60,40.0
1.83,1315,143,39.06
3.1,1395,93,32.92
1.47,1689,60,37.72
4.37,1263,217,30.15
3.11,1457,251,34.51
2.15,1103,114,40.0
1.17,1573,273,38.03
2.86,1085,145,34.88
1.07,1332,188,40.0
3.6,1179,166,34.64
4.42,1614,136,29.54
1.41,1520,90,40.0
1.51,1489,147,37.28
3.38,1948,66,28.07
2.92,1617,60,33.42
2.39,1609,89,35.66
1.4,1645,163,37.08
3.43,1293,138,31.89
1.62,1314,94,40.0
2.94,1343,168,35.54
3.25,929,172,35.0
4.29,980,87,37.03
4.59,1456,108,26.12
3.85,1756,143,27.34
4.72,1316,135,30.27
4.43,952,80,33.68
2.02,1088,152,36.55
3.67,877,131,35.61
4.72,1912,140,24.19
4.89,1355,60,27.06
2.42,1526,177,36.11
1.48,1708,150,35.68
2.91,1239,195,35.02
4.5,1348,172,26.7
3.4,1390,198,28.32
3.29,1689,138,26.97
1.2,1444,71,40.0
3.07,1500,185,31.27
3.58,1206,124,32.29
2.42,1154,163,36.0
2.91,1568,100,32.27
1.46,1504,159,37.89
3.71,1240,72,34.96
4.62,1287,191,26.53
2.8,1476,143,32.89
2.61,1182,174,37.67
1.71,1112,93,38.25
2.08,869,136,38.95
4.66,1615,168,26.93
4.8,1305,164,27.37
4.12,1248,154,28.46
2.24,1460,107,34.69
2.3,1401,137,35.94
2.86,1107,125,35.76
3.65,1294,63,33.09
3.54,1554,106,32.45
3.12,1419,122,36.36
1.23,1688,112,38.79
1.79,1586,137,38.77
4.88,1529,156,26.39
4.65,923,139,30.03
4.4,1882,119,27.35
2.21,1443,182,34.58
3.2,1599,84,33.13
3.35,1872,102,31.5
3.09,1488,87,32.95
1.37,837,164,40.0
4.04,809,164,33.35
3.57,908,160,33.89
4.22,1041,227,29.79
1.78,1738,104,35.53
2.37,1591,142,34.56
4.22,1487,166,25.84
1.13,1336,124,40.0
2.26,1877,169,32.79
3.74,1354,183,28.45
1.37,957,177,40.0
4.27,1281,220,31.14
4.15,1613,222,29.21
1.32,1559,166,35.97
3.08,800,106,40.0
4.06,1319,303,28.56
3.73,1869,84,28.81
3.61,1168,135,32.36
1.22,1134,183,39.87
4.65,1415,155,29.98
3.05,1829,152,31.46
4.01,1018,162,32.25
3.68,1505,180,30.7
1.37,1286,85,36.19
4.53,905,181,31.07
4.98,1362,149,25.88
1.33,1275,179,38.13
1.73,1423,142,38.54
2.46,1206,87,37.82
3.02,1346,171,32.44
3.48,1173,73,35.16
3.71,1807,166,29.04
3.24,1033,266,34.81
1.45,1395,110,38.78
3.32,1245,94,32.35
2.56,1279,149,34.43
1.17,1340,123,39.87
1.75,1183,154,38.13
2.6,800,108,38.43
2.0,1817,85,36.06
4.17,1237,60,28.15
3.06,1677,82,33.24
2.04,1112,148,39.94
2.12,1645,186,34.33
3.09,1217,168,34.68
2.46,1378,173,36.37
3.59,995,175,33.87
3.83,968,107,34.22
2.36,1151,60,37.35
3.53,1707,131,28.44
4.08,1713,60,26.78
1.35,1486,149,39.78
3.3,1880,133,29.02
4.2,1355,239,28.39
