MonthlyCharges,ContractType,CustomerServiceCalls,Churn
16.25,Month-to-month,3,0
82.76,Month-to-month,2,0
39.16,Month-to-month,3,0
63.25,Month-to-month,6,0
78.74,Two year,3,0
110.49,Month-to-month,3,0
100.84,One year,1,0
64.98,Month-to-month,3,0
90.53,Month-to-month,1,1
63.01,Month-to-month,4,0
91.56,Month-to-month,0,0
97.04,One year,1,0
40.19,Month-to-month,1,0
91.4,Two year,0,0
87.02,Month-to-month,5,1
110.5,Two year,3,0
34.68,Month-to-month,2,0
12.7,Month-to-month,5,0
65.36,Month-to-month,2,1
50.5,Month-to-month,2,0
26.91,Month-to-month,2,0
89.29,One year,3,0
107.96,One year,3,0
41.07,Month-to-month,0,0
99.01,Month-to-month,4,0
67.87,Month-to-month,4,0
55.98,One year,0,0
30.73,Month-to-month,3,0
114.93,One year,1,0
86.4,Month-to-month,4,0
136.91,Two year,0,0
86.71,Month-to-month,1,1
133.27,Month-to-month,2,0
125.42,Month-to-month,0,0
79.37,Month-to-month,0,1
51.79,Two year,2,0
64.27,Month-to-month,2,0
51.08,Two year,3,0
50.47,One year,2,0
54.49,Month-to-month,4,0
65.9,Month-to-month,2,1
92.52,Two year,3,1
18.71,Month-to-month,3,0
42.47,Month-to-month,2,0
61.3,Month-to-month,3,1
84.94,Month-to-month,0,0
67.52,One year,1,0
41.36,Month-to-month,5,0
60.7,Two year,2,0
69.06,One year,5,0
30.95,One year,4,0
78.99,Month-to-month,5,1
22.2,Month-to-month,3,0
58.03,One year,1,0
65.03,Month-to-month,4,1
97.82,Month-to-month,3,1
59.11,Month-to-month,4,0
99.8,Two year,2,0
102.0,Month-to-month,4,0
85.52,Month-to-month,3,1
63.28,Month-to-month,3,1
86.84,Month-to-month,1,1
105.21,Month-to-month,5,1
56.84,Month-to-month,4,0
34.52,One year,1,0
59.43,One year,3,0
96.98,Month-to-month,2,0
137.31,One year,1,0
76.79,One year,3,0
54.19,One year,1,0
56.24,One year,2,0
10.0,Month-to-month,2,0
46.8,Two year,2,0
53.07,Month-to-month,2,0
97.87,Month-to-month,3,0
81.72,Month-to-month,1,0
107.78,One year,1,0
82.95,Month-to-month,2,0
67.75,Month-to-month,1,1
68.71,Month-to-month,4,1
39.2,Month-to-month,1,0
75.37,Month-to-month,0,0
104.21,Month-to-month,4,0
38.92,Month-to-month,2,0
80.86,Month-to-month,2,1
52.43,Month-to-month,2,0
57.38,Month-to-month,1,0
43.84,One year,1,0
80.75,Month-to-month,2,0
88.5,One year,2,1
67.26,Month-to-month,1,1
76.65,One year,0,1
95.0,Two year,3,0
130.34,One year,3,0
78.34,Month-to-month,1,1
52.2,One year,3,0
82.08,Two year,2,0
15.77,One year,4,0
79.12,One year,1,0
48.75,Two year,0,0
108.84,Month-to-month,2,1
70.63,Month-to-month,4,0
56.56,One year,1,0
47.79,Month-to-month,3,0
58.27,Month-to-month,2,0
44.7,Month-to-month,4,0
53.4,Month-to-month,2,1
20.49,Month-to-month,1,0
133.89,Month-to-month,0,1
72.07,Month-to-month,0,0
77.48,One year,3,1
50.07,One year,2,0
16.0,Two year,5,0
25.76,Month-to-month,2,0
51.51,One year,2,1
63.64,Month-to-month,3,1
74.21,Month-to-month,0,0
74.47,Month-to-month,2,0
57.09,Month-to-month,1,0
38.68,Month-to-month,1,0
40.15,Month-to-month,2,0
48.05,One year,2,0
10.34,Month-to-month,6,0
42.66,Month-to-month,2,1
11.86,Two year,0,0
10.0,Month-to-month,2,0
100.7,Two year,6,1
106.2,One year,5,0
110.99,Month-to-month,3,0
70.08,Two year,2,0
98.38,Month-to-month,1,0
89.15,One year,1,0
21.16,Two year,4,0
11.89,Month-to-month,0,1
74.07,One year,4,0
51.31,Month-to-month,4,1
44.53,Month-to-month,5,0
47.87,Month-to-month,0,1
38.85,One year,2,0
67.22,One year,2,0
97.68,One year,3,0
49.74,Month-to-month,2,0
56.59,Month-to-month,4,0
78.96,Month-to-month,1,0
61.93,Month-to-month,2,1
63.41,Month-to-month,2,0
87.36,Month-to-month,2,0
62.98,Month-to-month,5,0
62.98,One year,3,0
31.41,One year,1,0
106.78,Month-to-month,1,1
51.21,Two year,1,1
38.38,Two year,0,0
97.91,One year,2,1
66.79,One year,4,1
34.53,Two year,2,0
41.56,One year,3,0
46.2,Month-to-month,3,0
49.64,Month-to-month,2,0
23.64,Month-to-month,3,0
12.81,One year,4,0
61.87,Month-to-month,3,0
80.83,One year,1,0
90.11,Month-to-month,7,1
131.51,Month-to-month,3,1
107.96,Month-to-month,1,0
73.55,Two year,3,0
64.82,Month-to-month,2,0
45.01,One year,5,1
41.84,One year,1,0
47.94,Month-to-month,0,0
20.78,Month-to-month,4,0
66.22,Month-to-month,0,0
78.51,Month-to-month,0,0
55.81,One year,3,0
95.12,Month-to-month,3,0
51.7,Month-to-month,0,0
56.3,Month-to-month,2,0
126.77,Month-to-month,4,0
83.19,Two year,1,0
92.33,Month-to-month,1,0
56.26,Month-to-month,1,0
70.48,Month-to-month,1,0
72.49,Month-to-month,2,0
75.58,Two year,1,1
44.66,One year,1,0
112.45,Two year,2,1
65.16,Month-to-month,1,1
100.17,Month-to-month,2,0
29.68,Month-to-month,2,1
53.75,Month-to-month,2,0
82.23,One year,1,0
54.51,Two year,2,1
69.41,One year,0,0
63.5,Month-to-month,2,0
61.62,Month-to-month,4,0
67.32,Month-to-month,0,0
104.35,Month-to-month,2,0
67.26,Month-to-month,1,0
53.61,Month-to-month,2,0
34.15,Month-to-month,1,0
103.62,Month-to-month,4,0
50.45,Month-to-month,2,0
71.8,Month-to-month,1,0
50.47,One year,1,0
96.77,One year,1,0
95.88,One year,4,0
58.38,Month-to-month,5,1
37.93,One year,9,0
86.01,Month-to-month,3,0
83.13,Month-to-month,3,0
122.67,Month-to-month,0,0
73.34,Month-to-month,4,0
59.01,Month-to-month,6,0
82.25,Month-to-month,3,1
113.62,Month-to-month,2,0
74.71,Month-to-month,1,0
61.13,Two year,1,0
88.81,Month-to-month,0,0
45.95,One year,1,0
40.95,Two year,3,0
10.0,One year,3,1
109.67,Month-to-month,2,0
106.2,Month-to-month,2,0
104.19,Month-to-month,4,0
66.82,One year,4,0
115.37,Month-to-month,2,1
73.07,Month-to-month,1,0
68.52,Month-to-month,2,0
93.06,Month-to-month,1,0
122.76,Month-to-month,3,1
88.98,Two year,2,0
56.59,One year,4,1
102.31,One year,3,0
10.0,Month-to-month,1,0
23.92,Month-to-month,4,0
27.05,Month-to-month,4,0
66.24,Two year,1,0
36.29,One year,1,0
99.14,Month-to-month,1,0
71.99,One year,3,1
17.67,Month-to-month,0,0
10.0,Month-to-month,1,0
44.13,Month-to-month,2,0
85.69,Month-to-month,0,0
52.19,Month-to-month,1,0
65.85,Month-to-month,3,0
60.44,One year,1,1
81.82,Two year,0,0
104.45,One year,1,0
103.39,Month-to-month,7,1
57.49,Two year,2,0
85.03,Month-to-month,3,1
67.16,Month-to-month,3,0
46.78,One year,0,0
85.6,Month-to-month,1,1
64.45,Two year,2,0
78.74,Month-to-month,2,0
90.85,Month-to-month,2,1
60.8,Month-to-month,6,1
68.59,Month-to-month,2,0
67.37,Month-to-month,3,0
56.89,Month-to-month,1,1
53.54,One year,3,0
45.97,Month-to-month,3,0
57.33,Month-to-month,1,1
106.48,Two year,2,0
125.3,Month-to-month,0,0
110.4,One year,1,0
29.67,Month-to-month,1,0
32.88,Month-to-month,1,0
89.12,Month-to-month,1,0
73.26,Month-to-month,1,0
140.94,Month-to-month,2,0
69.67,Month-to-month,2,0
109.68,One year,0,0
37.19,Month-to-month,4,0
98.84,One year,5,1
99.09,One year,0,1
82.22,One year,0,0
101.31,Month-to-month,1,1
61.5,Month-to-month,2,1
36.51,Month-to-month,1,0
19.53,Month-to-month,3,1
90.55,Month-to-month,5,0
63.22,Month-to-month,2,0
60.12,Month-to-month,3,0
38.47,One year,4,0
126.83,Two year,1,0
102.74,Month-to-month,1,0
93.42,Month-to-month,0,1
26.39,Month-to-month,2,0
73.2,Month-to-month,0,0
45.65,Month-to-month,2,0
119.56,Month-to-month,3,1
64.4,One year,2,0
96.56,Month-to-month,2,0
23.38,Two year,2,0
74.49,Month-to-month,3,0
47.72,Month-to-month,3,0
35.36,Month-to-month,2,0
18.91,One year,4,0
24.02,Month-to-month,4,0
21.57,Month-to-month,1,0
18.22,One year,3,0
90.42,Month-to-month,2,0
19.53,Month-to-month,2,0
100.45,Month-to-month,4,0
71.67,Month-to-month,3,0
108.67,Month-to-month,0,0
20.52,Month-to-month,3,0
54.58,Month-to-month,2,0
59.7,Two year,3,0
86.51,Two year,2,0
106.06,Two year,3,0
148.24,Month-to-month,1,1
26.35,Month-to-month,4,1
96.31,Month-to-month,2,0
25.06,Month-to-month,3,0
103.6,Month-to-month,3,1
42.24,One year,1,1
98.44,One year,2,0
87.47,One year,2,0
70.56,Month-to-month,0,0
58.16,Month-to-month,4,0
58.39,Two year,1,0
64.41,Month-to-month,0,0
73.27,Month-to-month,1,0
80.04,One year,1,0
45.55,One year,2,1
82.62,One year,2,1
86.57,One year,3,0
85.4,Month-to-month,4,1
104.69,Month-to-month,5,1
82.53,Month-to-month,1,0
71.91,One year,0,0
59.7,Month-to-month,1,0
108.01,One year,7,0
86.68,Month-to-month,2,0
40.79,Month-to-month,1,0
43.72,Month-to-month,3,1
20.97,One year,3,0
33.95,Month-to-month,0,0
97.87,Month-to-month,2,0
50.58,One year,1,0
34.89,Month-to-month,0,0
48.27,Month-to-month,1,0
22.12,Month-to-month,1,1
117.7,Month-to-month,4,1
124.72,Two year,2,0
130.56,One year,4,1
54.05,Month-to-month,1,1
71.71,One year,1,1
137.0,Month-to-month,5,0
62.12,One year,0,0
69.25,Month-to-month,1,0
54.04,Month-to-month,4,1
48.77,Month-to-month,3,0
74.85,Month-to-month,0,1
27.23,Month-to-month,1,0
66.61,Month-to-month,0,0
107.39,Month-to-month,1,1
91.26,Two year,1,0
124.17,Month-to-month,1,1
153.74,Month-to-month,2,0
109.58,One year,3,1
79.61,One year,3,0
90.81,Month-to-month,1,0
102.89,Month-to-month,2,0
40.42,One year,0,0
74.52,One year,1,0
68.35,Month-to-month,3,0
87.97,Month-to-month,1,0
84.22,Two year,2,0
94.53,Month-to-month,1,0
100.71,Month-to-month,4,1
71.72,Month-to-month,4,1
34.74,One year,3,0
53.38,One year,3,1
103.31,Month-to-month,2,0
42.65,Month-to-month,2,0
37.23,Month-to-month,2,0
95.62,Two year,6,1
70.48,One year,4,1
76.63,One year,1,0
62.13,Month-to-month,1,0
10.0,Two year,3,1
80.45,Month-to-month,1,0
23.69,One year,1,0
10.0,Month-to-month,2,0
104.82,Month-to-month,4,0
91.7,Month-to-month,2,0
35.65,One year,4,1
75.55,Two year,1,0
59.7,One year,4,0
77.99,Month-to-month,2,0
82.84,Month-to-month,2,0
84.55,One year,1,1
94.19,One year,1,0
104.34,Month-to-month,1,0
109.55,One year,2,0
123.08,Two year,3,0
151.78,Month-to-month,2,0
68.16,Month-to-month,1,0
106.64,Month-to-month,0,0
62.81,One year,2,0
82.83,One year,3,1
88.85,One year,1,1
86.84,Month-to-month,6,0
37.86,One year,4,0
77.09,One year,1,1
16.56,Month-to-month,4,1
20.25,Month-to-month,2,1
34.7,Month-to-month,2,0
71.92,Month-to-month,3,0
63.41,Month-to-month,2,0
48.05,Month-to-month,2,0
100.65,Two year,1,0
105.39,Two year,2,0
30.51,Month-to-month,4,0
73.17,Month-to-month,1,1
48.13,Two year,2,0
99.31,Month-to-month,0,0
36.16,One year,1,0
16.09,Month-to-month,2,0
56.5,One year,3,0
91.36,Month-to-month,1,1
30.7,Month-to-month,0,0
93.47,Month-to-month,0,0
82.01,Month-to-month,0,0
63.62,Month-to-month,1,0
81.95,Month-to-month,0,0
106.31,Month-to-month,3,0
53.24,Month-to-month,6,0
29.88,One year,2,0
52.68,Two year,3,0
24.97,Month-to-month,1,1
154.95,One year,1,1
98.32,Month-to-month,3,0
93.89,One year,4,1
62.68,Month-to-month,1,0
39.42,Month-to-month,3,0
29.83,Month-to-month,5,0
95.06,Month-to-month,4,0
75.77,Month-to-month,4,0
39.4,Month-to-month,3,0
26.76,Month-to-month,4,1
62.29,Month-to-month,2,0
37.27,Month-to-month,3,0
65.92,One year,1,0
107.49,Month-to-month,4,1
10.0,Month-to-month,1,0
61.97,Month-to-month,1,0
104.99,One year,2,1
79.1,Month-to-month,3,1
133.51,One year,2,1
70.17,Month-to-month,3,1
120.79,Month-to-month,3,0
83.64,One year,3,1
56.54,Month-to-month,2,0
67.53,Month-to-month,1,1
91.31,Month-to-month,1,0
72.55,One year,0,0
89.56,Month-to-month,3,1
31.16,Month-to-month,2,0
85.25,Month-to-month,2,0
48.99,Month-to-month,2,1
43.87,Month-to-month,3,0
79.1,Two year,2,0
45.56,One year,3,0
119.84,Month-to-month,5,0
62.76,Month-to-month,2,0
28.73,Month-to-month,2,0
10.0,Month-to-month,0,0
61.5,Month-to-month,2,0
65.94,One year,2,0
31.53,Month-to-month,0,0
76.5,Month-to-month,1,0
63.03,Month-to-month,3,1
52.49,Month-to-month,0,0
23.19,One year,1,0
10.0,One year,1,1
63.43,Month-to-month,5,1
85.87,Month-to-month,2,1
68.63,Month-to-month,3,1
73.04,Month-to-month,7,1
47.21,Month-to-month,1,0
63.32,Month-to-month,1,0
10.0,One year,1,1
103.96,Month-to-month,1,1
29.87,One year,1,0
92.15,One year,2,0
74.09,One year,5,1
44.98,Month-to-month,2,0
86.66,Month-to-month,0,0
90.3,Month-to-month,0,0
69.63,Two year,1,0
47.44,Month-to-month,1,0
38.73,One year,2,1
24.73,Month-to-month,5,1
51.55,Month-to-month,7,1
67.06,One year,3,0
87.48,Month-to-month,4,1
90.5,One year,4,1
57.5,Month-to-month,5,0
64.8,Two year,2,0
83.69,Month-to-month,4,0
45.66,Two year,3,0
78.57,Two year,1,0
87.97,Two year,0,0
65.21,Two year,2,0
57.85,Month-to-month,2,0
114.72,Month-to-month,2,0
47.29,One year,3,0
60.75,Two year,4,0
86.47,Two year,1,0
39.04,Month-to-month,2,0
37.28,Two year,0,0
74.16,Two year,0,0
50.61,One year,0,0
114.92,Month-to-month,3,0
109.67,Month-to-month,2,1
61.67,Two year,5,0
81.68,Month-to-month,3,1
61.15,Month-to-month,1,0
70.84,One year,2,0
103.8,Month-to-month,5,1
71.06,One year,6,1
55.47,Two year,0,0
10.0,One year,1,0
31.63,Month-to-month,5,0
114.5,Month-to-month,6,1
106.16,Month-to-month,3,0
35.92,Month-to-month,6,0
54.48,Month-to-month,1,0
57.92,Month-to-month,0,0
57.15,Two year,2,0
34.92,Two year,2,0
40.38,Two year,2,0
62.75,Month-to-month,3,0
70.64,Month-to-month,1,1
20.13,One year,1,0
113.68,Two year,3,0
74.42,Two year,1,0
70.0,Month-to-month,3,0
90.18,One year,3,0
50.91,Month-to-month,1,0
27.58,Two year,2,0
16.26,One year,5,0
91.81,Month-to-month,3,1
88.58,Month-to-month,3,0
98.2,One year,2,0
108.28,Month-to-month,3,1
63.11,Month-to-month,9,0
138.99,Month-to-month,2,1
53.99,Two year,2,0
33.19,Month-to-month,0,0
45.31,Two year,2,0
114.65,Two year,2,0
68.45,One year,4,0
104.23,Month-to-month,1,1
112.37,Two year,2,0
35.96,Two year,1,0
53.45,Two year,3,0
39.13,Month-to-month,2,0
91.98,Month-to-month,1,0
86.34,Month-to-month,3,1
83.31,Month-to-month,3,1
40.64,One year,5,1
90.39,Month-to-month,0,0
58.8,Month-to-month,1,1
79.98,Month-to-month,5,1
63.74,Month-to-month,3,0
52.7,One year,2,1
78.57,Two year,1,0
93.36,Month-to-month,3,1
101.33,Two year,1,0
27.9,One year,0,0
41.29,Two year,3,0
37.2,One year,4,0
21.68,Month-to-month,3,1
107.57,Month-to-month,3,1
25.28,Two year,2,0
43.07,Month-to-month,2,0
74.0,Two year,6,0
64.2,Two year,0,0
95.96,Month-to-month,1,1
84.34,Month-to-month,2,0
109.37,Month-to-month,6,0
100.32,One year,4,1
66.15,Month-to-month,1,0
58.95,One year,4,1
64.94,Month-to-month,3,0
38.33,Month-to-month,4,0
40.76,Two year,2,0
60.89,Two year,1,1
10.0,Month-to-month,4,0
66.77,Month-to-month,2,0
55.54,Two year,1,0
69.73,Month-to-month,1,0
42.58,Two year,4,0
75.23,One year,3,0
27.51,Month-to-month,3,0
102.97,Month-to-month,5,0
76.38,One year,6,0
57.48,Two year,3,1
91.76,Month-to-month,1,1
35.24,Month-to-month,1,0
100.59,Two year,2,0
107.67,Month-to-month,1,0
87.41,Month-to-month,0,0
10.0,Month-to-month,0,0
64.87,One year,2,0
32.4,Month-to-month,3,0
65.33,Month-to-month,0,0
122.46,Month-to-month,1,0
52.86,Month-to-month,1,0
38.21,Month-to-month,2,0
48.41,Two year,0,0
48.11,Month-to-month,1,0
36.43,Two year,4,0
43.32,One year,0,0
35.01,One year,3,0
45.36,One year,3,0
10.0,Month-to-month,3,0
98.43,Month-to-month,1,0
81.22,One year,2,0
116.09,Two year,1,0
64.3,One year,1,0
63.24,Month-to-month,2,0
70.53,Two year,4,0
48.2,Month-to-month,2,0
22.27,One year,1,0
96.37,Two year,2,0
74.94,One year,0,0
60.28,One year,4,0
61.93,One year,1,0
63.37,Two year,2,0
92.26,Month-to-month,0,0
49.72,Month-to-month,0,0
39.13,One year,2,0
64.65,Two year,4,0
73.25,One year,2,1
68.07,Month-to-month,2,0
38.27,One year,1,0
30.48,Two year,1,0
87.03,Month-to-month,2,0
74.02,Month-to-month,3,0
71.36,Month-to-month,3,1
109.66,Two year,3,1
53.21,Month-to-month,2,0
82.3,Month-to-month,1,1
93.56,Month-to-month,1,1
77.4,Two year,4,1
67.28,Month-to-month,1,1
60.86,Month-to-month,2,0
69.03,Two year,1,0
42.2,One year,3,1
78.03,Two year,1,0
107.65,Month-to-month,1,0
25.99,One year,2,0
123.74,Month-to-month,1,0
10.0,Two year,3,0
64.48,One year,1,0
78.8,Month-to-month,5,0
22.01,Month-to-month,6,1
47.05,Month-to-month,2,0
24.35,Two year,1,0
53.58,One year,3,0
87.69,Two year,0,0
108.67,Month-to-month,2,1
52.79,Month-to-month,4,0
125.95,Month-to-month,0,1
27.6,One year,1,0
103.37,Two year,4,0
64.17,Month-to-month,3,0
54.26,One year,3,0
89.69,One year,1,0
99.48,One year,3,1
115.21,One year,1,0
99.78,One year,4,0
68.1,Month-to-month,1,1
94.08,One year,2,1
59.08,Month-to-month,2,0
80.89,Two year,0,0
35.26,Two year,2,0
10.0,Two year,1,0
113.95,Month-to-month,3,0
93.35,Month-to-month,2,1
68.42,Month-to-month,1,1
127.45,Month-to-month,1,1
111.86,Month-to-month,2,0
67.39,Month-to-month,2,0
15.58,Two year,2,0
43.16,One year,2,0
82.72,Two year,3,0
24.43,Month-to-month,2,0
27.16,Two year,4,1
69.08,One year,2,1
60.74,Month-to-month,1,0
85.01,One year,2,0
106.2,Two year,3,1
94.95,Month-to-month,2,0
41.66,One year,0,0
116.05,Month-to-month,2,1
75.02,One year,2,0
71.02,Month-to-month,0,0
104.13,Month-to-month,2,1
25.43,Month-to-month,0,0
109.95,Month-to-month,1,0
48.12,Month-to-month,1,1
94.36,Month-to-month,2,0
75.15,One year,3,0
72.36,Month-to-month,2,0
83.36,Month-to-month,0,0
31.33,One year,4,1
65.84,One year,1,0
67.22,Two year,2,0
21.4,Month-to-month,4,1
65.4,Month-to-month,0,0
65.99,Month-to-month,2,0
110.14,One year,4,1
78.07,Two year,0,0
82.67,Two year,6,0
111.27,Month-to-month,2,0
69.84,Month-to-month,1,0
54.7,Two year,1,0
72.95,Month-to-month,3,0
62.47,Two year,4,0
54.39,Month-to-month,2,1
77.6,Month-to-month,3,1
74.44,Two year,0,0
48.86,Month-to-month,4,0
136.88,One year,4,0
78.11,Month-to-month,2,1
75.98,Month-to-month,5,1
86.43,Month-to-month,2,1
145.56,Month-to-month,2,1
40.42,Month-to-month,0,0
10.75,Two year,4,1
92.88,One year,1,1
107.07,Month-to-month,3,0
46.82,One year,3,0
48.22,Month-to-month,2,0
43.5,One year,1,0
117.34,Month-to-month,4,0
89.5,One year,2,0
128.0,One year,1,0
55.7,Month-to-month,2,0
87.14,Month-to-month,2,1
97.31,Month-to-month,2,1
77.14,Month-to-month,2,0
41.5,One year,1,1
131.28,Month-to-month,2,0
103.79,Month-to-month,3,1
91.36,Month-to-month,2,0
84.51,Month-to-month,5,1
125.69,One year,3,1
65.71,Month-to-month,3,0
101.03,Month-to-month,2,1
70.97,Month-to-month,4,0
10.0,Month-to-month,3,0
40.89,Two year,3,0
65.28,Month-to-month,4,0
66.26,One year,2,0
33.8,One year,4,1
59.72,Two year,2,0
75.49,Month-to-month,3,1
117.51,Month-to-month,2,0
48.33,Month-to-month,1,0
48.31,Month-to-month,3,0
37.93,One year,1,1
89.52,One year,4,0
103.68,One year,3,0
114.43,One year,1,0
80.71,Two year,2,0
86.77,Month-to-month,1,0
54.3,One year,1,0
22.21,Month-to-month,0,0
46.94,Month-to-month,5,0
95.58,Month-to-month,5,0
80.18,Month-to-month,1,0
80.05,Month-to-month,2,0
113.71,One year,2,0
38.84,Month-to-month,1,0
61.44,Two year,3,0
14.27,One year,0,0
10.0,Month-to-month,3,0
46.29,Month-to-month,2,0
112.78,One year,0,0
82.13,Month-to-month,4,0
67.52,Month-to-month,2,0
77.96,Month-to-month,3,1
98.4,Month-to-month,3,1
81.77,Month-to-month,3,1
76.4,One year,3,0
50.87,Month-to-month,1,0
73.5,One year,2,0
71.33,One year,1,0
50.31,Month-to-month,4,0
64.17,Month-to-month,3,0
60.78,Month-to-month,5,0
102.42,Month-to-month,2,0
90.34,Two year,5,0
43.61,Two year,3,0
57.18,One year,4,0
59.98,One year,2,0
78.6,Month-to-month,0,0
88.61,Two year,3,0
40.5,One year,2,0
15.77,Month-to-month,2,0
99.97,Month-to-month,2,1
78.38,Month-to-month,1,1
46.79,Month-to-month,1,1
59.56,Month-to-month,2,0
75.15,Month-to-month,1,1
49.04,Month-to-month,1,0
65.12,Month-to-month,3,0
46.75,Month-to-month,1,0
87.4,Month-to-month,3,0
94.75,Month-to-month,4,1
85.14,Month-to-month,2,0
94.95,Two year,1,1
17.97,Month-to-month,3,0
71.65,Month-to-month,1,0
86.98,Month-to-month,5,1
70.95,Month-to-month,0,0
50.09,Month-to-month,1,0
122.59,One year,1,1
96.76,Two year,4,0
57.95,Two year,4,0
98.77,One year,4,1
36.56,Month-to-month,2,1
73.61,Month-to-month,2,0
19.28,Month-to-month,1,1
83.74,Month-to-month,4,0
13.33,Month-to-month,2,0
73.72,One year,2,0
85.74,Month-to-month,1,0
126.67,Month-to-month,0,1
38.77,Month-to-month,2,0
79.84,Month-to-month,3,0
10.0,One year,1,0
116.25,One year,1,0
111.54,One year,2,0
43.88,Month-to-month,0,0
28.28,Month-to-month,1,0
57.95,One year,2,0
94.49,Month-to-month,2,0
46.45,Two year,2,0
28.64,Month-to-month,2,0
75.53,One year,2,0
104.71,Month-to-month,4,1
117.22,Month-to-month,4,1
52.46,Month-to-month,0,0
35.43,Month-to-month,1,0
45.52,One year,2,0
108.96,Month-to-month,4,0
63.95,One year,2,0
64.44,Month-to-month,3,1
53.7,Two year,1,0
10.0,Month-to-month,2,0
61.85,Month-to-month,3,0
66.15,Month-to-month,3,0
92.98,Month-to-month,4,1
63.41,Month-to-month,2,0
76.86,Month-to-month,5,0
58.43,Two year,1,0
97.31,Month-to-month,3,0
85.25,Month-to-month,2,0
91.47,Month-to-month,1,0
38.83,Month-to-month,3,0
81.01,One year,1,0
79.57,Month-to-month,2,0
64.67,Month-to-month,2,0
41.5,Two year,2,1
101.29,Two year,1,0
62.12,Month-to-month,2,1
87.9,Month-to-month,2,1
76.98,One year,2,0
91.41,One year,1,0
86.19,One year,2,0
49.1,Two year,3,0
40.79,Two year,3,0
71.33,Two year,1,0
68.6,One year,0,0
56.75,Month-to-month,2,0
96.34,One year,2,0
69.59,Month-to-month,1,1
125.1,One year,4,1
114.34,Month-to-month,2,0
130.84,Month-to-month,2,1
67.36,Month-to-month,1,0
55.68,Month-to-month,3,1
44.21,One year,1,0
58.69,One year,5,1
103.34,One year,2,0
72.02,Two year,0,0
52.23,One year,2,1
147.96,Month-to-month,3,1
87.86,Month-to-month,2,0
44.1,Month-to-month,2,0
59.38,Month-to-month,2,1
49.66,One year,3,1
34.01,Two year,1,0
64.29,Month-to-month,3,1
32.48,Month-to-month,3,1
49.83,One year,1,1
20.53,Two year,1,0
85.97,Month-to-month,1,0
98.32,Month-to-month,3,1
86.35,Month-to-month,1,1
87.75,Month-to-month,2,1
54.09,Month-to-month,1,0
56.36,Month-to-month,5,0
48.0,Month-to-month,1,0
129.37,One year,2,1
47.49,Month-to-month,2,0
44.5,Month-to-month,1,0
27.04,Month-to-month,4,0
97.46,One year,3,1
92.13,Two year,3,0
33.42,One year,3,0
37.67,Month-to-month,1,0
69.87,Month-to-month,2,1
70.68,One year,2,0
23.1,One year,5,0
97.06,Month-to-month,2,0
103.84,Month-to-month,2,1
36.89,Two year,5,0
108.44,Month-to-month,0,0
67.11,Month-to-month,2,0
62.14,Two year,1,0
71.66,Month-to-month,0,0
61.15,Month-to-month,4,1
95.03,One year,1,0
132.87,Two year,0,1
29.17,Month-to-month,2,0
69.38,One year,5,1
35.17,Month-to-month,6,1
36.58,One year,1,1
44.99,Month-to-month,2,0
60.13,One year,6,0
69.18,One year,1,0
59.31,Month-to-month,1,0
60.13,Month-to-month,2,0
28.0,Month-to-month,3,0
79.23,Month-to-month,2,1
77.46,One year,4,1
79.57,Two year,2,0
52.56,One year,2,0
21.06,Month-to-month,1,0
59.74,One year,2,0
60.0,Two year,1,0
18.87,Month-to-month,4,0
39.36,Month-to-month,0,0
118.11,One year,0,1
77.25,One year,2,0
70.54,Two year,3,0
59.24,One year,4,1
27.7,Month-to-month,2,1
72.73,Month-to-month,3,0
10.83,Month-to-month,0,0
96.39,Month-to-month,1,1
96.83,Month-to-month,1,1
90.88,Two year,2,0
57.71,Month-to-month,4,0
68.63,Month-to-month,4,1
76.77,One year,2,0
133.39,Month-to-month,3,1
69.35,Month-to-month,1,1
55.11,One year,1,0
61.21,Month-to-month,0,0
79.99,One year,2,0
74.38,One year,3,0
61.3,Month-to-month,2,0
127.58,Month-to-month,2,1
51.73,Month-to-month,4,0
79.41,Month-to-month,1,1
88.62,Two year,4,0
76.78,Month-to-month,1,1
74.21,Two year,2,0
71.29,Month-to-month,1,0
87.52,Month-to-month,3,0
86.61,Month-to-month,2,0
61.92,One year,3,0
26.26,Month-to-month,1,0
42.41,Month-to-month,1,1
106.18,Month-to-month,1,0
118.64,Month-to-month,1,0
35.37,Month-to-month,3,0
28.24,Month-to-month,1,1
95.84,One year,0,0
55.02,Month-to-month,3,1
62.24,One year,2,0
17.37,Month-to-month,2,0
10.0,Two year,2,0
96.16,One year,3,1
59.27,Month-to-month,3,0
92.19,Month-to-month,5,0
101.13,Month-to-month,3,0
51.42,Two year,0,0
50.62,Month-to-month,1,0
61.45,Month-to-month,3,0
93.17,Month-to-month,2,0
44.81,Month-to-month,4,0
30.23,Month-to-month,0,0
70.46,Month-to-month,0,0
111.57,Month-to-month,3,1
129.42,One year,3,1
80.72,Month-to-month,1,1
15.86,Month-to-month,1,0
63.37,Month-to-month,1,0
80.81,Month-to-month,1,0
40.15,Month-to-month,4,0
99.97,Month-to-month,1,0
39.66,One year,2,1
74.83,Month-to-month,1,0
97.99,Month-to-month,2,1
62.56,Month-to-month,4,0
39.28,Month-to-month,3,1
93.96,Month-to-month,1,0
67.93,One year,2,0
81.33,One year,4,1
54.31,Month-to-month,1,0
16.87,Two year,1,0
71.42,Month-to-month,2,1
66.77,One year,5,1
24.25,Month-to-month,2,1
